"product","region","region_type","name","member","format","formats","driver","layer","geom_type","feature_count","n_fields","crs","extent","error","url","dsn"
"LIST_TASWATER_SW_PRES_MAIN","DERWENT_VALLEY","lga","LIST_TASWATER_SW_PRES_MAIN_DERWENT_VALLEY.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_derwent_valley","Polygon",1,9,"EPSG:28355","404434.457 5225738.68 518717.03 5295556.953","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_DERWENT_VALLEY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","DEVONPORT","lga","LIST_TASWATER_SW_PRES_MAIN_DEVONPORT.zip","list_taswater_sw_pres_main_devonport.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_devonport","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_DEVONPORT.zip",""
"LIST_TASWATER_SW_PRES_MAIN","DEVONPORT","lga","LIST_TASWATER_SW_PRES_MAIN_DEVONPORT.zip","municipality_devonport.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_devonport","MultiPolygon",1,11,"EPSG:28355","436393.818 5430841.129 450242.821 5444032.827","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_DEVONPORT.zip",""
"LIST_TASWATER_SW_PRES_MAIN","DEVONPORT","lga","LIST_TASWATER_SW_PRES_MAIN_DEVONPORT.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_devonport","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_DEVONPORT.zip",""
"LIST_TASWATER_SW_PRES_MAIN","DEVONPORT","lga","LIST_TASWATER_SW_PRES_MAIN_DEVONPORT.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_devonport","Polygon",1,9,"EPSG:28355","436393.818 5430841.129 450242.821 5444032.827","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_DEVONPORT.zip",""
"LIST_TASWATER_SW_PRES_MAIN","DORSET","lga","LIST_TASWATER_SW_PRES_MAIN_DORSET.zip","list_taswater_sw_pres_main_dorset.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_dorset","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_DORSET.zip",""
"LIST_TASWATER_SW_PRES_MAIN","DORSET","lga","LIST_TASWATER_SW_PRES_MAIN_DORSET.zip","municipality_dorset.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_dorset","MultiPolygon",1,11,"EPSG:28355","516725.789 5418795.28 606585.52 5492428.411","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_DORSET.zip",""
"LIST_TASWATER_SW_PRES_MAIN","DORSET","lga","LIST_TASWATER_SW_PRES_MAIN_DORSET.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_dorset","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_DORSET.zip",""
"LIST_TASWATER_SW_PRES_MAIN","DORSET","lga","LIST_TASWATER_SW_PRES_MAIN_DORSET.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_dorset","Polygon",1,9,"EPSG:28355","516725.789 5418795.28 606585.52 5492428.411","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_DORSET.zip",""
"LIST_TASWATER_SW_PRES_MAIN","FLINDERS","lga","LIST_TASWATER_SW_PRES_MAIN_FLINDERS.zip","list_taswater_sw_pres_main_flinders.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_flinders","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_FLINDERS.zip",""
